date,windchill,DTR
170725,31.70630224,10.8
170726,30.97190216,8.6
170727,29.27881416,4.8
170728,27.880258,2.1
170729,29.24952704,5.1
170730,30.12315784,7.9
170731,28.14103832,2.3
170801,30.86542608,8.9
170802,32.15812,6.4
170803,32.65506896,6.7
170804,32.73037192,9.4
170805,33.81716144,7.2
170806,32.12847408,5.8
170807,31.55506272,8
170808,30.43978672,5.5
170809,29.70824032,7.4
170810,26.7628064,2.4
170811,29.0201704,8.5
170812,29.97760592,9.4
170813,27.94611176,4.2
170814,25.05775504,4
170815,21.15981256,3.2
170816,23.05819064,6.3
170817,26.67428672,6.5
170818,28.76004296,6.7
170819,28.1645548,5.6
170820,23.91202752,3.8
170821,27.57834928,5.5
170822,29.48990008,8.1
170823,29.14840448,5.6
170824,27.601974,4.2
170825,27.53324184,8.4
170826,26.1158456,10.2
170827,25.31732552,7.7
170828,24.023954,8.2
170829,18.5332276,7
170830,22.3850248,7.8
170831,24.55090768,11
170901,24.89984984,12.6
170902,25.90725456,11
170903,26.03127928,10.2
170904,26.91950224,10.4
170905,24.10008232,3.3
170906,23.70960848,5.5
170907,25.03495424,9.7
170908,26.52348904,9.5
170909,26.35268688,9
170910,25.5996968,6.2
170911,23.39325536,6
170912,24.00166616,10.2
170913,23.26286544,11.6
170914,24.60495872,14.7
170915,22.17039024,10.1
170916,21.3041808,10.9
170917,24.03833608,10.2
170918,23.48107816,11.2
170919,23.0029752,5.7
170920,20.2097332,10.8
170921,22.67577032,12.8
170922,22.04963984,11.4
170923,24.15614192,9.7
170924,24.1749632,9.1
170925,25.97619184,12.7
170926,27.16795496,12
170927,24.90788456,7.4
170928,18.99318784,11.1
170929,18.26857552,12.3
170930,22.57784,11.2
171001,18.92847824,5.7
171002,23.2862544,13.8
171003,18.24040832,10.2
171004,18.57585704,13.6
171005,19.95753768,9.5
171006,19.73122648,7.1
171007,24.87383752,11.9
171008,25.5996968,9.4
171009,24.98803,7.8
171010,24.25988688,6.2
171011,14.0266628,9.5
171012,12.3140152,5.2
171013,9.47262464,12.8
171014,22.0696,11.5
171015,17.94059024,14
171016,18.74839248,8.4
171017,19.48421104,14.7
171018,16.7008684,4.9
171019,18.8856344,11.3
171020,19.685612,13.1
171021,20.76996992,14.2
171022,14.48842152,12.5
171023,16.84618712,12
171024,15.87485824,11
171025,17.1790144,11.1
171026,18.2466876,7.4
171027,20.39603352,12.3
171028,18.5679696,14.2
171029,7.3223268,10.9
171030,6.40819832,10.7
171031,12.07053248,12.4
171101,15.22278016,6.6
171102,17.9385812,4
171103,8.79646024,10.5
171104,6.048388,9.2
171105,11.3945584,12.8
171106,14.2867864,8.5
171107,17.1790144,9.2
171108,10.5897812,10.3
171109,13.67932752,13.1
171110,6.2778296,10.6
171111,5.34321032,8
171112,8.93979128,11.1
171113,9.54228064,8.7
171114,6.174274,8.5
171115,-1.18241536,7.6
171116,4.260396,9.8
171117,2.0837704,7.4
171118,-12.08281976,7.4
171119,-3.08637568,10.1
171120,3.57473696,8.1
171121,5.17484088,12.3
171122,2.43148488,10.2
171123,0.35784376,7.2
171124,0.91854752,5.4
171125,4.4293576,10.6
171126,4.73913496,7.9
171127,6.902142,12.4
171128,11.50139136,9.9
171129,-1.18241536,9.9
171130,-11.79249728,7.9
171201,0.47019632,10.7
171202,3.90502632,12.7
171203,8.0202924,5
171204,-10.82461472,10.6
171205,10.5097,7.8
171206,13.2443,10.5
171207,2.69332296,8.1
171208,-2.59226256,6.6
171209,6.145938,11
171210,1.2078548,9.2
171211,-19.747828,8.5
171212,-10.98355216,7.1
171213,-6.79835336,7.6
171214,1.76729104,9.3
171215,4.021228,8.4
171216,-13.9752764,5.5
171217,-6.39470632,8.5
171218,3.82815872,9.2
171219,-4.92746696,5.5
171220,2.51235064,8.4
171221,4.45505128,10.2
171222,8.88322416,8.5
171223,11.23957464,3.7
171224,3.73741784,6.3
171225,-7.86558392,5.5
171226,-10.75093968,6.8
171227,-6.60579224,7.7
171228,2.67750568,7.6
171229,7.74868504,6.4
171230,8.38365584,5.7
171231,-2.28701096,6.5
180101,2.72762312,8.9
180102,-0.52708016,6.1
180103,-6.57060456,6.7
180104,-0.47258472,8
180105,-1.0427624,7.2
180106,0.5969072,9.7
180107,7.23733824,8.5
180108,2.67395256,5.2
180109,-11.26446512,4.9
180110,-16.32725,5.5
180111,-19.21436072,6.2
180112,-8.31298256,9.9
180113,4.34219232,5.4
180114,5.79839248,9.8
180115,8.37504872,5.9
180116,11.2704068,6.7
180117,9.2910796,6.3
180118,2.89307416,4.2
180119,3.6283224,8
180120,4.81261968,7.9
180121,6.9108336,9.2
180122,3.4891352,9.3
180123,-28.27003736,9.3
180124,-28.99868752,5.6
180125,-22.8711888,6.9
180126,-21.89412832,7.1
180127,-5.36702024,12.4
